frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,tcp.len,tcp.hdr_len,udp.length
8.894910000,92.60.78.238,192.168.1.4,47516,50254,,,53,0,20,
8.916995000,92.60.78.238,192.168.1.4,47516,50254,,,53,58,20,
8.916995000,92.60.78.238,192.168.1.4,47516,50254,,,53,0,20,
8.916995000,192.168.1.4,92.60.78.238,50254,47516,,,128,0,20,
8.969557000,92.60.78.238,192.168.1.4,47516,50250,,,53,0,20,
8.996716000,92.60.78.238,192.168.1.4,47516,50250,,,53,58,20,
8.996803000,92.60.78.238,192.168.1.4,47516,50250,,,53,0,20,
8.996803000,192.168.1.4,92.60.78.238,50250,47516,,,128,0,20,
9.600498000,92.60.78.238,192.168.1.4,47516,49996,,,53,0,20,
9.600498000,192.168.1.4,92.60.78.238,49996,47516,,,128,0,20,
10.121136000,192.168.1.4,239.255.255.250,,,50138,1900,4,,,145
10.623808000,92.60.78.238,192.168.1.4,47516,49732,,,53,0,20,
10.623809000,192.168.1.4,92.60.78.238,49732,47516,,,128,0,20,
12.158854000,92.60.78.238,192.168.1.4,47516,50202,,,53,0,20,
12.158854000,192.168.1.4,92.60.78.238,50202,47516,,,128,0,20,
12.159118000,92.60.78.238,192.168.1.4,47516,50100,,,53,0,20,
12.159118000,192.168.1.4,92.60.78.238,50100,47516,,,128,0,20,
12.159506000,92.60.78.238,192.168.1.4,47516,49864,,,53,0,20,
12.159506000,192.168.1.4,92.60.78.238,49864,47516,,,128,0,20,
12.221506000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
12.221506000,192.168.1.4,92.60.78.238,49956,47516,,,128,0,20,
12.469962000,92.60.78.238,192.168.1.4,47516,49306,,,53,0,20,
12.469962000,192.168.1.4,92.60.78.238,49306,47516,,,128,0,20,
13.055421000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
13.055423000,192.168.1.4,92.60.78.238,49980,47516,,,128,0,20,
13.092275000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
