frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,tcp.len,tcp.hdr_len,udp.length
16.127089000,92.60.78.238,192.168.1.4,,,47516,54649,53,,,138
16.149768000,92.60.78.238,192.168.1.4,47516,49954,,,53,103,20,
16.150125000,192.168.1.4,92.60.78.238,49954,47516,,,128,73,20,
16.153273000,92.60.78.238,192.168.1.4,47516,49954,,,53,183,20,
16.153945000,192.168.1.4,92.60.78.238,49954,47516,,,128,69,20,
16.174996000,92.60.78.238,192.168.1.4,47516,49726,,,53,0,20,
16.174996000,192.168.1.4,92.60.78.238,49726,47516,,,128,0,20,
16.187845000,92.60.78.238,192.168.1.4,47516,49954,,,53,0,20,
16.431800000,92.60.78.238,192.168.1.4,47516,49346,,,53,0,20,
16.431842000,192.168.1.4,92.60.78.238,49346,47516,,,128,0,20,
16.433246000,92.60.78.238,192.168.1.4,47516,49336,,,53,0,20,
16.433246000,192.168.1.4,92.60.78.238,49336,47516,,,128,0,20,
16.684210000,92.60.78.238,192.168.1.4,47516,49345,,,53,0,20,
16.684210000,192.168.1.4,92.60.78.238,49345,47516,,,128,0,20,
16.685772000,92.60.78.238,192.168.1.4,47516,49344,,,53,0,20,
16.685772000,192.168.1.4,92.60.78.238,49344,47516,,,128,0,20,
16.687176000,92.60.78.238,192.168.1.4,47516,49342,,,53,0,20,
16.687177000,192.168.1.4,92.60.78.238,49342,47516,,,128,0,20,
17.452513000,92.60.78.238,192.168.1.4,47516,49306,,,53,0,20,
17.452514000,192.168.1.4,92.60.78.238,49306,47516,,,128,0,20,
18.477535000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
18.477536000,192.168.1.4,92.60.78.238,49956,47516,,,128,0,20,
19.091879000,192.168.1.4,92.60.78.238,49956,47516,,,128,1494,20,
19.091880000,192.168.1.4,92.60.78.238,49956,47516,,,128,597,20,
19.092078000,192.168.1.4,92.60.78.238,49956,47516,,,128,73,20,
19.092257000,192.168.1.4,92.60.78.238,,,60145,47516,128,,,104
19.135014000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
19.135161000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
19.135237000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
19.163926000,92.60.78.238,192.168.1.4,47516,49956,,,53,73,20,
19.167545000,92.60.78.238,192.168.1.4,,,47516,60145,53,,,236
19.207484000,192.168.1.4,92.60.78.238,49956,47516,,,128,0,20,
19.289238000,92.60.78.238,192.168.1.4,47516,50484,,,53,0,20,
19.289238000,192.168.1.4,92.60.78.238,50484,47516,,,128,0,20,
19.289238000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
19.289238000,192.168.1.4,92.60.78.238,49980,47516,,,128,0,20,
19.290342000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
19.290342000,192.168.1.4,92.60.78.238,49972,47516,,,128,0,20,
19.339900000,92.60.78.238,192.168.1.4,47516,49956,,,53,902,20,
19.340158000,192.168.1.4,92.60.78.238,49956,47516,,,128,69,20,
19.418373000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
19.498493000,92.60.78.238,192.168.1.4,47516,50528,,,53,0,20,
19.498493000,192.168.1.4,92.60.78.238,50528,47516,,,128,0,20,
19.498603000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
19.498603000,192.168.1.4,92.60.78.238,49964,47516,,,128,0,20,
19.498634000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
19.498634000,192.168.1.4,92.60.78.238,49962,47516,,,128,0,20,
19.498700000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
19.498701000,192.168.1.4,92.60.78.238,49976,47516,,,128,0,20,
19.756105000,192.168.1.4,92.60.78.238,51050,47516,,,128,1494,20,
19.756106000,192.168.1.4,92.60.78.238,51050,47516,,,128,480,20,
19.756233000,192.168.1.4,92.60.78.238,51050,47516,,,128,1494,20,
19.756233000,192.168.1.4,92.60.78.238,51050,47516,,,128,145,20,
19.775058000,92.60.78.238,192.168.1.4,47516,51050,,,53,0,20,
19.775232000,92.60.78.238,192.168.1.4,47516,51050,,,53,0,20,
19.775363000,92.60.78.238,192.168.1.4,47516,51050,,,53,0,20,
19.775874000,92.60.78.238,192.168.1.4,47516,51050,,,53,0,20,
19.776077000,92.60.78.238,192.168.1.4,47516,51050,,,53,0,20,
19.976865000,92.60.78.238,192.168.1.4,47516,51050,,,53,2225,20,
19.976866000,192.168.1.4,92.60.78.238,51050,47516,,,128,0,20,
20.048922000,192.168.1.4,92.60.78.238,51050,47516,,,128,1494,20,
20.049167000,192.168.1.4,92.60.78.238,51050,47516,,,128,467,20,
20.085435000,92.60.78.238,192.168.1.4,47516,51050,,,53,0,20,
20.085583000,92.60.78.238,192.168.1.4,47516,51050,,,53,0,20,
20.088914000,192.168.1.4,92.60.78.238,50954,47516,,,128,0,20,
20.088914000,192.168.1.4,92.60.78.238,,,50663,47516,128,,,102
20.089007000,192.168.1.4,92.60.78.238,51078,47516,,,128,0,32,
20.089387000,192.168.1.4,92.60.78.238,51070,47516,,,128,834,20,
20.089387000,192.168.1.4,92.60.78.238,51070,47516,,,128,1494,20,
20.089387000,192.168.1.4,92.60.78.238,51070,47516,,,128,1494,20,
20.089479000,192.168.1.4,92.60.78.238,51070,47516,,,128,246,20,
20.090144000,192.168.1.4,92.60.78.238,,,50061,47516,128,,,1313
20.090144000,192.168.1.4,92.60.78.238,,,50061,47516,128,,,1313
20.090144000,192.168.1.4,92.60.78.238,50528,47516,,,128,105,20,
20.090239000,192.168.1.4,92.60.78.238,50528,47516,,,128,73,20,
20.090330000,192.168.1.4,92.60.78.238,50528,47516,,,128,1494,20,
20.090427000,192.168.1.4,92.60.78.238,50528,47516,,,128,1494,20,
20.090427000,192.168.1.4,92.60.78.238,50528,47516,,,128,1494,20,
20.090427000,192.168.1.4,92.60.78.238,50528,47516,,,128,1494,20,
20.090521000,192.168.1.4,92.60.78.238,50528,47516,,,128,1494,20,
20.091035000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,143
20.091035000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,1313
20.091036000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,1313
20.091514000,192.168.1.4,92.60.78.238,49976,47516,,,128,106,20,
20.091514000,192.168.1.4,92.60.78.238,49976,47516,,,128,73,20,
20.091607000,192.168.1.4,92.60.78.238,49976,47516,,,128,1494,20,
20.091705000,192.168.1.4,92.60.78.238,49976,47516,,,128,1494,20,
20.091794000,192.168.1.4,92.60.78.238,49976,47516,,,128,707,20,
20.091883000,192.168.1.4,92.60.78.238,49972,47516,,,128,1494,20,
20.091978000,192.168.1.4,92.60.78.238,49972,47516,,,128,763,20,
20.091978000,192.168.1.4,92.60.78.238,49972,47516,,,128,80,20,
20.092882000,192.168.1.4,92.60.78.238,51080,47516,,,128,0,32,
20.093716000,192.168.1.4,92.60.78.238,51082,47516,,,128,0,32,
20.094709000,192.168.1.4,92.60.78.238,,,60195,47516,128,,,108
20.095256000,192.168.1.4,92.60.78.238,,,60196,47516,128,,,1313
20.095256000,192.168.1.4,92.60.78.238,,,60196,47516,128,,,1313
20.095576000,192.168.1.4,92.60.78.238,49962,47516,,,128,624,20,
20.095576000,192.168.1.4,92.60.78.238,49962,47516,,,128,73,20,
20.095674000,192.168.1.4,92.60.78.238,49962,47516,,,128,1494,20,
20.095768000,192.168.1.4,92.60.78.238,49962,47516,,,128,1494,20,
20.095768000,192.168.1.4,92.60.78.238,51084,47516,,,128,0,32,
20.095768000,192.168.1.4,92.60.78.238,49962,47516,,,128,1494,20,
20.095866000,192.168.1.4,92.60.78.238,49962,47516,,,128,1494,20,
20.095972000,192.168.1.4,92.60.78.238,50484,47516,,,128,106,20,
20.095972000,192.168.1.4,92.60.78.238,50484,47516,,,128,73,20,
20.096071000,192.168.1.4,92.60.78.238,50484,47516,,,128,1494,20,
20.096163000,192.168.1.4,92.60.78.238,50484,47516,,,128,1494,20,
20.096252000,192.168.1.4,92.60.78.238,50484,47516,,,128,1494,20,
20.096252000,192.168.1.4,92.60.78.238,50484,47516,,,128,551,20,
20.096538000,192.168.1.4,92.60.78.238,51086,47516,,,128,0,32,
20.097171000,192.168.1.4,92.60.78.238,49980,47516,,,128,99,20,
20.097172000,192.168.1.4,92.60.78.238,49980,47516,,,128,73,20,
20.097262000,192.168.1.4,92.60.78.238,49980,47516,,,128,1494,20,
20.097354000,192.168.1.4,92.60.78.238,49980,47516,,,128,1494,20,
20.097354000,192.168.1.4,92.60.78.238,49980,47516,,,128,1494,20,
20.097455000,192.168.1.4,92.60.78.238,49980,47516,,,128,997,20,
20.097987000,192.168.1.4,92.60.78.238,49964,47516,,,128,1494,20,
20.097987000,192.168.1.4,92.60.78.238,49964,47516,,,128,1003,20,
20.098079000,192.168.1.4,92.60.78.238,49964,47516,,,128,73,20,
20.098079000,192.168.1.4,92.60.78.238,49964,47516,,,128,1494,20,
20.098173000,192.168.1.4,92.60.78.238,49964,47516,,,128,1494,20,
20.098263000,192.168.1.4,92.60.78.238,49964,47516,,,128,1494,20,
20.098264000,192.168.1.4,92.60.78.238,49964,47516,,,128,888,20,
20.099950000,192.168.1.4,92.60.78.238,51088,47516,,,128,0,32,
20.134242000,92.60.78.238,192.168.1.4,47516,50954,,,53,0,20,
20.135999000,92.60.78.238,192.168.1.4,47516,51078,,,53,0,32,
20.135999000,192.168.1.4,92.60.78.238,51078,47516,,,128,0,20,
20.136684000,92.60.78.238,192.168.1.4,47516,51070,,,53,0,20,
20.136684000,192.168.1.4,92.60.78.238,51078,47516,,,128,1533,20,
20.136684000,92.60.78.238,192.168.1.4,47516,51070,,,53,0,20,
20.136684000,92.60.78.238,192.168.1.4,47516,51070,,,53,0,20,
20.136807000,92.60.78.238,192.168.1.4,47516,51070,,,53,0,20,
20.136807000,92.60.78.238,192.168.1.4,47516,51070,,,53,0,20,
20.137170000,92.60.78.238,192.168.1.4,47516,50528,,,53,0,20,
20.137170000,92.60.78.238,192.168.1.4,47516,50528,,,53,0,20,
20.137569000,92.60.78.238,192.168.1.4,47516,50528,,,53,0,20,
20.137569000,192.168.1.4,92.60.78.238,50528,47516,,,128,1399,20,
20.137569000,92.60.78.238,192.168.1.4,47516,50528,,,53,0,20,
20.137961000,92.60.78.238,192.168.1.4,47516,50528,,,53,0,20,
20.137961000,92.60.78.238,192.168.1.4,47516,51080,,,53,0,32,
20.137961000,192.168.1.4,92.60.78.238,51080,47516,,,128,0,20,
20.137961000,92.60.78.238,192.168.1.4,47516,50528,,,53,0,20,
20.137961000,92.60.78.238,192.168.1.4,47516,50528,,,53,0,20,
20.138421000,192.168.1.4,92.60.78.238,51080,47516,,,128,1533,20,
20.139490000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
20.139491000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
20.139491000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
20.139491000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
20.139886000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
20.139886000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
20.139886000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
20.139886000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
20.143281000,92.60.78.238,192.168.1.4,47516,51084,,,53,0,32,
20.143281000,192.168.1.4,92.60.78.238,51084,47516,,,128,0,20,
20.143281000,92.60.78.238,192.168.1.4,47516,51086,,,53,0,32,
20.143281000,192.168.1.4,92.60.78.238,51086,47516,,,128,0,20,
20.143656000,192.168.1.4,92.60.78.238,51084,47516,,,128,1533,20,
20.143657000,192.168.1.4,92.60.78.238,51086,47516,,,128,1533,20,
20.143657000,92.60.78.238,192.168.1.4,47516,51082,,,53,0,32,
20.143657000,192.168.1.4,92.60.78.238,51082,47516,,,128,0,20,
20.143971000,192.168.1.4,92.60.78.238,51082,47516,,,128,1533,20,
